100 4238
61 71 346
25 71 688
57 71 834
97 71 388
62 71 827
90 71 406
8 71 648
52 71 289
67 71 636
80 71 860
50 71 600
24 71 862
53 71 645
96 71 940
77 71 378
26 71 322
41 71 782
88 71 634
44 71 672
82 71 792
84 71 72
5 71 131
45 71 259
40 71 595
18 71 711
99 71 957
16 71 994
39 71 404
49 71 943
6 71 450
4 71 124
54 71 581
38 71 599
30 71 359
31 71 306
9 71 521
60 71 145
34 71 84
100 71 627
13 71 720
12 71 201
48 71 820
91 71 986
63 71 370
76 71 175
33 71 964
10 71 151
55 71 440
75 71 57
87 71 116
92 71 57
22 71 816
15 71 500
28 71 851
58 71 236
70 71 226
29 71 710
73 71 971
89 71 169
83 71 629
7 71 184
43 71 876
42 71 973
66 71 489
14 71 198
81 71 640
56 71 306
95 71 710
21 71 311
94 71 718
37 71 269
85 71 619
27 61 940
23 61 695
98 61 10
65 61 180
86 61 675
79 61 914
20 61 111
32 61 929
68 61 43
78 61 317
93 61 36
59 61 364
72 61 925
46 61 117
17 61 563
2 61 159
69 61 560
1 61 189
47 61 546
19 25 252
3 25 811
64 25 21
74 25 839
11 57 652
51 57 588
36 57 270
35 57 230
58 88 490
46 24 855
35 34 948
72 24 414
81 46 35
10 52 354
6 16 347
82 19 68
46 60 692
36 13 699
10 26 466
97 75 863
69 46 700
45 61 970
92 65 242
21 13 342
14 72 890
49 78 414
32 90 328
94 50 807
2 33 385
9 89 543
92 53 15
80 22 78
64 32 521
15 35 846
66 56 619
49 95 129
60 21 151
1 34 166
33 15 30
12 45 979
31 88 381
16 21 766
77 97 293
20 21 536
79 94 555
91 89 788
11 90 877
52 82 674
23 50 677
90 83 424
99 28 535
64 83 537
26 54 899
17 48 550
4 100 555
30 94 543
17 55 702
83 12 944
47 66 815
42 50 778
17 26 34
24 54 530
17 16 858
85 65 346
8 57 155
34 97 525
86 83 653
21 40 296
12 68 351
90 47 403
10 38 583
94 53 992
86 72 950
80 11 236
48 64 622
46 36 60
17 38 678
46 83 563
94 44 542
89 42 976
96 48 323
34 13 975
36 51 923
31 30 485
20 65 618
47 68 273
15 99 74
73 46 189
35 77 268
30 65 293
4 82 295
84 65 161
29 98 984
93 20 478
32 31 669
3 65 931
74 61 314
84 61 183
19 63 365
1 20 629
20 18 456
50 97 669
15 45 578
48 62 117
12 69 461
1 38 231
56 52 82
30 24 675
63 62 222
39 52 403
97 44 968
68 41 221
17 6 176
82 32 943
47 39 972
35 45 204
59 36 103
24 73 776
52 29 494
99 89 914
63 51 535
66 24 927
87 40 684
69 92 730
28 59 217
42 37 497
73 1 154
65 66 510
41 42 664
85 63 149
32 72 992
15 48 517
56 88 718
50 30 784
39 43 335
9 8 787
72 43 382
65 52 604
56 47 780
56 87 84
54 42 455
61 15 139
55 49 338
84 53 165
26 32 385
82 89 128
48 51 567
79 93 20
72 53 711
16 18 399
84 20 673
58 59 992
86 57 248
40 76 270
2 25 845
